"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\attack.py", "Python", 8, 0, 1, 4, 13
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\battle_turn.py", "Python", 88, 0, 8, 24, 120
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\game.py", "Python", 47, 0, 3, 11, 61
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\player.py", "Python", 18, 0, 1, 5, 24
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\shop_turn.py", "Python", 55, 0, 8, 21, 84
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\main.py", "Python", 27, 0, 1, 8, 36
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\pet.py", "Python", 238, 0, 20, 27, 285
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\pet_type.py", "Python", 36, 0, 5, 7, 48
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\shop.py", "Python", 90, 0, 27, 21, 138
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\team.py", "Python", 38, 0, 8, 9, 55
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\utils\concat.py", "Python", 7, 0, 8, 3, 18
"Total", "-", 652, 2, 90, 141, 885
